Optimal Course Data
(longtitude, latitude)
(70.0, 40.0)
(58.6849, 27.1485)
(56.5432, 21.4188)
(58.8289, 14.5229)
(56.5089, 13.709)
(53.7121, 15.3046)
(52.5211, 15.7957)
(49.243, 16.7044)
(48.2077, 16.8889)
(50.2111, 10.2944)
(49.9816, 6.0828)
(53.7989, 0.2199)
(52.1181, 0.4088)
(51.1758, 0.0322)
(43.5474, 3.9061)
(41.8671, 3.5667)
(32.191, 5.8699)
(35.6619, 9.9333)
(38.43, 8.4648)
(44.0356, 13.5401)
(44.0398, 16.2635)
(40.8801, 14.2978)
(39.5168, 16.9371)
(37.5848, 16.8474)
(40.14, 20.303)
(38.4722, 20.1731)
(38.3392, 19.995)
(31.9499, 17.6309)
(30.8165, 13.4595)
(31.4847, 8.964)
(30.3313, 6.9348)
(27.7133, 5.0706)
(24.4654, 3.1644)
(33.649, 0.398)
(24.4509, 6.5634)
(19.9857, 5.7902)
(23.9222, 7.6306)
(23.9876, 9.403)
(23.0624, 8.4319)
(18.6635, 6.7436)
(13.7909, 1.951)
(9.4402, 3.92)
(1.9451, 0.2057)
(0.7732, 0.4656)
(0.7775, 6.9576)
(3.1616, 4.2428)
(4.9568, 8.3669)
(4.1591, 3.1853)
(6.207, 5.1442)
(8.1519, 9.5325)
(9.5559, 11.4219)
(10.1584, 12.4819)
(9.1556, 14.1304)
(10.5597, 15.1178)
(10.8198, 16.2529)
(11.5118, 17.3884)
(12.7938, 15.7307)
(14.4703, 13.6368)
(19.866, 15.1224)
(20.105, 15.4562)
(19.3635, 17.6622)
(17.1168, 20.0354)
(15.732, 19.5697)
(16.5618, 23.6143)
(11.5812, 14.5677)
(8.9586, 24.6635)
(8.9983, 23.644)
(6.9909, 23.1804)
(18.5245, 14.3598)
(1.3496, 16.8359)
(0.1215, 18.8726)
(0.9718, 28.1477)
(8.0831, 27.6705)
(10.1121, 27.2662)
(15.2548, 27.2111)
(21.5051, 24.0909)
(22.7891, 23.1045)
(22.1075, 18.5569)
(26.7213, 28.5667)
(24.6543, 19.6057)
(26.2418, 18.176)
(26.4951, 22.1221)
(28.9836, 25.9879)
(28.2694, 29.0011)
(36.4863, 29.7284)
(36.9545, 23.0265)
(34.0574, 23.396)
(34.1688, 22.7571)
(36.998, 24.3992)
(39.9494, 29.5114)
(39.7139, 28.4203)
(28.7812, 27.6659)
(41.1084, 27.7149)
(46.3253, 28.2753)
(47.5099, 24.0664)
(50.1156, 23.7816)
(47.4134, 23.7783)
(51.8181, 23.0159)
(51.9612, 22.8511)
(53.3524, 26.7256)
(52.8423, 27.288)
(70.0, 40.0)
